Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,demand_supply_ratio,demand_multiplier,location_multiplier,vehicle_multiplier,New_Price
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,1.9565217391304348,1.1956521739130435,1.2,1.25,458.83
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,1.45,1.145,1.0,1.0,179.18
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,1.3125,1.13125,0.9,1.25,377.74
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,3.0689655172413794,1.306896551724138,0.9,1.25,691.32
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,3.391304347826087,1.3391304347826087,0.9,1.0,698.64
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,1.6388888888888888,1.163888888888889,1.2,1.0,427.32
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,2.1136363636363638,1.2113636363636364,1.0,1.25,157.57
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355605,1.55,1.155,0.9,1.25,260.45
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,5.266666666666667,1.5266666666666666,0.9,1.0,620.05
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933645706103,6.0,1.6,0.9,1.25,646.37
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,4.777777777777778,1.4777777777777779,1.2,1.0,1186.89
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,1.5384615384615385,1.1538461538461537,0.9,1.25,457.89
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,2.6666666666666665,1.2666666666666666,0.9,1.0,475.21
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,1.44,1.144,1.0,1.25,381.26
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,4.5,1.45,0.9,1.25,533.56
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,3.0,1.3,1.2,1.25,781.22
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,1.3103448275862069,1.1310344827586207,0.9,1.25,280.04
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,3.066666666666667,1.3066666666666666,1.0,1.0,55.64
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,4.125,1.4125,1.0,1.25,194.81
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,3.875,1.3875,1.0,1.25,597.76
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,2.0869565217391304,1.208695652173913,1.2,1.25,150.07
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,1.8333333333333333,1.1833333333333333,1.0,1.0,68.24
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,4.352941176470588,1.4352941176470588,0.9,1.0,504.65
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.16652497375452,1.8461538461538463,1.1846153846153846,1.2,1.25,377.0
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,2.4,1.24,1.0,1.25,310.48
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,4.0,1.4,0.9,1.0,512.26
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,2.1176470588235294,1.2117647058823529,0.9,1.25,211.44
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,1.2763157894736843,1.1276315789473683,1.2,1.0,794.78
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,1.8235294117647058,1.1823529411764706,1.0,1.25,595.95
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,1.4615384615384615,1.146153846153846,1.0,1.25,693.43
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,3.125,1.3125,1.0,1.25,422.49
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,1.3157894736842106,1.131578947368421,1.0,1.25,583.18
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,3.9,1.3900000000000001,1.2,1.25,303.21
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,1.4,1.14,1.0,1.25,588.52
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,2.0606060606060606,1.206060606060606,1.0,1.0,355.47
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,2.1818181818181817,1.2181818181818183,0.9,1.25,484.53
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,2.3333333333333335,1.2333333333333334,1.0,1.25,597.79
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873477,1.5625,1.15625,0.9,1.25,555.63
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,4.0,1.4,1.0,1.0,341.9
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,4.055555555555555,1.4055555555555554,0.9,1.25,1003.66
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,1.894736842105263,1.1894736842105262,1.2,1.25,554.65
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,5.090909090909091,1.509090909090909,1.2,1.0,246.35
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,1.1829268292682926,1.1182926829268292,1.0,1.0,593.55
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,6.3,1.63,0.9,1.25,885.43
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,2.2941176470588234,1.2294117647058824,1.2,1.25,590.79
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,2.6363636363636362,1.2636363636363637,1.0,1.0,384.1
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,2.1470588235294117,1.214705882352941,1.0,1.25,703.6
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,3.1333333333333333,1.3133333333333335,1.2,1.25,711.43
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,1.8620689655172413,1.186206896551724,1.0,1.0,85.69
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,9.571428571428571,1.957142857142857,0.9,1.0,629.76
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,2.5555555555555554,1.2555555555555555,1.2,1.0,706.33
